Country,IndR_nc,Flag,Sawn_nc,Flag,FuelW,Flag,IndR_c,Flag,Sawn_c,Flag,Ply_Ven,Flag,PartB,Flag,FibreB,Flag,MechP,Flag,ChemP,Flag,OthP,Flag,WasteP,Flag,NewsP,Flag,PWP,Flag,OthP,Flag
Slovakia,0,C,0.01,U,0,C,0,C,0,U,0.08,U,0.07,C,0.07,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C
Slovenia,0,C,0.01,U,0,C,0,C,0,U,0.08,U,0.07,C,0.07,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C
Spain,0,C,0.01,U,0,C,0,C,0,U,0.08,U,0.07,C,0.07,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C
Sweden,0,C,0.01,U,0,C,0,C,0,U,0.08,U,0.07,C,0.07,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C
Switzerland,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C
United Kingdom,0,C,0,U,0,C,0,C,0,U,0.08,U,0.06,U,0.06,U,0,C,0,C,0,C,0,C,0,C,0,C,0,C
Serbia,0.01,O,0.01,O,0.01,O,0.01,O,0,O,0.04,O,0.04,O,0.03,O,0,C,0,C,0,C,0,C,0,C,0.02,O,0,C
Armenia,0.09,U,0.03,U,0.09,U,0.09,U,0.1,U,0.1,U,0.07,U,0.03,U,0.08,U,0.09,U,0.05,U,0.05,U,0.05,U,0.06,U,0.08,U
"Azerbaijan, Republic of",0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X
Belarus,0.15,O,0.15,O,0.15,O,0.15,O,0.15,O,0.15,O,0.15,O,0.15,O,0.15,O,0.15,O,0.15,O,0.15,O,0.15,O,0.14,O,0.13,O
Estonia,0,C,0.01,U,0,C,0,C,0,U,0.08,U,0.07,C,0.07,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C
Georgia,0,C,0.12,U,0,C,0,C,0.12,U,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C
Kazakhstan,0.08,U,0.03,U,0.09,U,0.08,U,0,C,0.07,U,0.05,U,0.05,U,0,C,0,C,0,C,0,C,0,C,0.02,U,0.06,U
Kyrgyzstan,0.09,U,0.03,U,0.09,U,0.09,U,0.1,U,0.11,U,0.07,U,0.05,U,0.08,U,0.09,U,0.05,U,0.05,U,0.05,U,0.05,U,0.07,U
Latvia,0,C,0.01,U,0,C,0,C,0,U,0.08,U,0.07,C,0.07,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C
Lithuania,0,C,0.01,U,0,C,0,C,0,U,0.08,U,0.07,C,0.07,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C
"Moldova, Republic of",0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0.05,U,0.05,U,0.05,U,0.03,U,0,C,0.05,U,0.06,U
Russian Federation,0.09,U,0.08,U,0.09,U,0.09,U,0.1,U,0.11,U,0.07,U,0.05,U,0.08,U,0.09,U,0.05,U,0.05,U,0.05,U,0.06,U,0.07,U
Tajikistan,0.06,U,0.06,U,0.05,U,0.06,U,0.05,U,0.07,U,0.05,U,0.05,U,0.08,U,0.08,U,0.1,U,0.1,U,0.05,U,0.07,U,0.06,U
Turkmenistan,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X
Ukraine,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C
Uzbekistan,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X
