country,forest_growing_stock (mio_m3),Flag,"annual_forest_stock_growth, without_harvest",Flag,forest_area,annual_area_growth
Poland,2648,A,0.018,,9483,0.001
Portugal,154,A,0.078,,3351,0.002
Romania,2340,A,0.009,,6946,0.001
Slovakia,544,A,0.013,,1937,0.001
Slovenia,377,A,0.012,,1244,0
Spain,1214,A,0.024,,19072,0.002
Sweden,3545,A,0.02,,27934,0
Switzerland,436,A,0.011,,1263,0.001
United Kingdom,659,A,0.019,,3253,0.004
Serbia,537,A,0.033,,3396,0.012
Armenia,41,A,0.027,,334,0
"Azerbaijan, Republic of",165,A,0.003,,1193,0.009
Belarus,1787,A,0.021,,8922,0.003
Estonia,495,A,0.013,,2457,0.002
Georgia,690,A,0.002,,3101,0
Kazakhstan,379,A,0.023,,3493,0.004
Kyrgyzstan,58,A,0.001,,1255,0
Latvia,654,A,0.023,,3454,0.002
Lithuania,554,A,0.019,,2211,0.001
"Moldova, Republic of",44,A,0.014,,371,-0.002
Russian Federation,108030,A,0.02,,830951,0.001
Tajikistan,5,A,0.084,M,424,0.001
Turkmenistan,15,A,0.001,,2330,0
Ukraine,2198,A,0.014,,10014,0.004
Uzbekistan,76,A,0.012,,3812,0.011
