country,forest_growing_stock (mio_m3),Flag,"annual_forest_stock_growth, without_harvest",Flag,forest_area,annual_area_growth
Austria,1166,A,0.021,,3899,0.001
Belgium,180,B,0.000,Z,689,0.000
Bosnia and Herzegovina,405,A,0.016,,2188,0.003
Bulgaria,767,A,0.034,,3893,0.003
Croatia,427,A,0.020,,1939,0.002
Czech Republic,791,A,0.038,,2677,0.001
Denmark,133,A,0.036,,628,0.001
Finland,2449,A,0.029,,22409,0.000
France,3056,A,0.033,,17253,0.005
Germany,3663,A,0.022,,11419,0.000
Greece,192,A,0.009,,3902,0.000
Hungary,397,A,0.026,,2053,-0.001
Luxembourg,35,A,0.024,,89,0.000
Ireland,122,A,0.046,,782,0.007
Italy,1424,A,0.017,,9566,0.006
"Macedonia,The Fmr Yug Rp",76,A,0.013,,1001,0.001
Montenegro,121,C,0.000,,827,0.000
Netherlands,83,A,0.049,,370,0.003
Norway,1233,A,0.026,,12180,0.001
Poland,2730,A,0.033,,9483,0.001
Portugal,172,B,0.000,Z,3312,0.000
Romania,2355,A,0.020,,6929,0.001
Slovakia,538,A,0.021,,1926,0.000
Slovenia,414,A,0.014,,1238,-0.002
Spain,1109,A,0.027,,18572,0.000
Sweden,3654,A,0.033,,27980,0.000
Switzerland,449,A,0.016,,1269,0.003
United Kingdom,677,A,0.031,,3190,0.002
Serbia,421,A,0.023,,2723,0.000
Armenia,41,B,0.000,,328,-0.001
"Azerbaijan, Republic of",195,A,0.012,,1132,0.010
Belarus,1807,A,0.032,,8768,0.003
Estonia,494,A,0.026,,2438,0.001
Georgia,455,A,0.002,,2822,0.000
Kazakhstan,407,A,0.006,,3455,0.009
Kyrgyzstan,58,A,0.023,,1315,0.010
Latvia,672,A,0.028,,3411,0.001
Lithuania,559,A,0.022,,2201,0.001
"Moldova, Republic of",45,A,0.032,,387,0.000
Russian Federation,81071,A,0.002,,815312,0.000
Tajikistan,44,G,0.000,,424,0.001
Turkmenistan,15,B,0.000,Z,4127,0.000
Ukraine,2280,A,0.017,,9690,0.001
Uzbekistan,76,B,0.000,,3690,0.008
